"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "Properties", "comment", "blank", "total"
"d:\CodeData\Project\bee-channel-app\.env", "Properties", 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"d:\CodeData\Project\bee-channel-app\README.md", "Markdown", 0, 0, 0, 0, 407, 0, 0, 0, 2, 409
"d:\CodeData\Project\bee-channel-app\api\auth.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"d:\CodeData\Project\bee-channel-app\api\checkcode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\CodeData\Project\bee-channel-app\api\live.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 9, 34
"d:\CodeData\Project\bee-channel-app\api\media.ts", "TypeScript", 0, 0, 0, 138, 0, 0, 0, 0, 29, 167
"d:\CodeData\Project\bee-channel-app\api\order.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\CodeData\Project\bee-channel-app\api\upload.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 7, 31
"d:\CodeData\Project\bee-channel-app\api\user.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 9, 46
"d:\CodeData\Project\bee-channel-app\app.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 2, 45
"d:\CodeData\Project\bee-channel-app\app\(no-direct)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 1, 5, 69
"d:\CodeData\Project\bee-channel-app\app\(no-direct)\live-play\[liveId].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 7, 99
"d:\CodeData\Project\bee-channel-app\app\(no-direct)\personal\author.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"d:\CodeData\Project\bee-channel-app\app\(no-direct)\personal\collection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 5, 69
"d:\CodeData\Project\bee-channel-app\app\(no-direct)\personal\information.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"d:\CodeData\Project\bee-channel-app\app\(no-direct)\personal\userInfo\[targetId].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 1, 4, 45
"d:\CodeData\Project\bee-channel-app\app\(no-direct)\personal\video.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 3, 35
"d:\CodeData\Project\bee-channel-app\app\(no-direct)\search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"d:\CodeData\Project\bee-channel-app\app\(no-direct)\video-play\[videoId].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 138, 0, 0, 6, 144
"d:\CodeData\Project\bee-channel-app\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 1, 5, 101
"d:\CodeData\Project\bee-channel-app\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
